datetime,outlier,storm_area,storm_centroid_x,storm_centroid_y,storm_id
2025-10-27 11:15:00,False,1.12903,1.69895,103.195,1_20251027
2025-10-28 17:00:00,False,4.89247,1.73048,103.201,1_20251028
2025-10-29 13:25:00,False,15.0538,1.96171,103.538,1_20251029
2025-10-31 04:00:00,False,0.752688,1.84609,103.811,1_20251030
2025-10-31 20:10:00,False,1.88172,1.97222,104.346,1_20251031
2025-08-01 20:55:00,False,1.12903,1.86712,104.206,10_20250801
2025-08-01 21:05:00,False,1.12903,1.96171,104.218,10_20250801
2025-08-02 12:45:00,False,1.12903,1.47823,103.253,10_20250802
2025-08-02 12:50:00,False,1.50538,1.49925,103.259,10_20250802
2025-08-02 13:00:00,False,1.88172,1.47823,103.334,10_20250802
2025-08-02 13:10:00,False,0.752688,1.57282,103.387,10_20250802
2025-08-02 13:15:00,False,11.2903,1.62537,103.363,10_20250802
2025-08-02 13:25:00,False,10.1613,1.63588,103.381,10_20250802
2025-08-02 13:30:00,False,3.3871,1.61486,103.387,10_20250802
2025-08-02 13:35:00,False,1.12903,1.56231,103.491,10_20250802
2025-08-03 16:25:00,False,4.13978,1.24699,103.201,10_20250803
2025-08-03 16:30:00,False,14.3011,1.21546,103.201,10_20250803
2025-08-03 16:35:00,False,28.6021,1.14189,103.201,10_20250803
2025-08-03 16:40:00,False,42.5269,1.07883,103.206,10_20250803
2025-08-04 14:30:00,False,2.25806,1.69895,104.346,10_20250804
2025-08-04 14:35:00,False,0.752688,1.64639,104.27,10_20250804
2025-08-05 08:05:00,False,234.086,1.69895,103.247,10_20250805
2025-08-06 22:45:00,False,40.2688,1.64639,104.218,10_20250806
2025-08-08 23:40:00,False,65.8602,1.57282,103.956,10_20250808
2025-08-09 22:45:00,False,6.02151,1.00525,103.799,10_20250809
2025-08-09 22:50:00,False,15.0538,1.01576,103.788,10_20250809
2025-08-09 22:55:00,False,36.8817,0.994743,103.776,10_20250809
2025-08-10 20:45:00,False,141.505,1.68844,104.137,10_20250810
2025-08-11 14:25:00,False,20.3226,1.79354,103.991,10_20250811
2025-08-11 14:30:00,False,7.52688,1.76201,104.009,10_20250811
2025-08-11 14:35:00,False,1.50538,1.7515,104.009,10_20250811
2025-08-13 02:45:00,False,53.8172,1.87763,104.183,10_20250812
2025-08-13 08:45:00,False,6.02151,1.09985,103.253,10_20250813
2025-08-14 19:30:00,False,2.25806,1.39414,104.439,10_20250814
2025-08-15 13:10:00,False,94.4624,1.33108,103.23,10_20250815
2025-08-17 21:30:00,False,10.5376,1.60435,103.23,10_20250817
2025-08-18 18:40:00,False,44.7849,1.76201,103.927,10_20250818
2025-08-19 20:10:00,False,37.2581,0.816064,103.933,10_20250819
2025-08-21 22:05:00,False,2.63441,1.67793,104.23,10_20250821
2025-08-23 14:10:00,False,65.4839,1.17342,103.23,10_20250823
2025-08-24 14:35:00,False,103.495,1.54129,103.253,10_20250824
2025-08-26 13:55:00,False,8.27957,1.19444,103.695,10_20250826
2025-08-26 14:05:00,False,4.89247,1.1524,103.706,10_20250826
2025-08-28 20:55:00,False,1.88172,1.08934,103.608,10_20250828
2025-08-30 09:40:00,False,20.3226,1.52027,103.212,10_20250830
2025-08-31 21:25:00,False,30.1075,1.39414,103.288,10_20250831
2025-09-01 15:10:00,False,1.12903,1.12087,103.23,10_20250901
2025-09-02 14:30:00,False,4.51613,1.41516,103.392,10_20250902
2025-09-02 14:35:00,False,3.01075,1.56231,103.462,10_20250902
2025-09-04 03:50:00,False,3.01075,0.73198,104.09,10_20250903
2025-09-04 03:55:00,False,0.752688,0.73198,104.084,10_20250903
2025-09-04 14:45:00,False,8.65591,1.34159,103.503,10_20250904
2025-09-05 15:45:00,False,6.02151,1.50976,103.567,10_20250905
2025-09-05 15:50:00,False,9.4086,1.47823,103.584,10_20250905
2025-09-05 15:55:00,False,16.1828,1.44669,103.608,10_20250905
2025-09-05 16:00:00,False,12.4194,1.41516,103.619,10_20250905
2025-09-07 13:00:00,False,27.4731,1.01576,103.52,10_20250907
2025-09-07 13:05:00,False,30.1075,0.963211,103.515,10_20250907
2025-09-07 13:10:00,False,33.1183,0.921169,103.503,10_20250907
2025-09-07 13:15:00,False,37.2581,0.879127,103.515,10_20250907
2025-09-07 13:20:00,False,38.3871,0.826574,103.515,10_20250907
2025-09-07 13:25:00,False,56.828,0.816064,103.503,10_20250907
2025-09-07 13:30:00,False,44.7849,0.774022,103.503,10_20250907
2025-09-09 03:40:00,False,5.26882,0.763511,103.759,10_20250908
2025-09-09 03:45:00,False,8.65591,0.74249,103.765,10_20250908
2025-09-09 16:20:00,False,2.25806,1.83558,104.445,10_20250909
2025-09-09 16:25:00,False,0.752688,1.87763,104.439,10_20250909
2025-09-10 22:50:00,False,15.0538,1.05781,103.892,10_20250910
2025-09-11 19:05:00,False,14.6774,1.86712,103.206,10_20250911
2025-09-11 19:10:00,False,18.4409,1.90916,103.201,10_20250911
2025-09-12 14:25:00,False,19.9462,1.52027,104.288,10_20250912
2025-09-12 14:30:00,False,26.3441,1.53078,104.305,10_20250912
2025-09-13 16:25:00,False,638.28,1.83558,103.503,10_20250913
2025-09-15 14:45:00,False,123.817,1.87763,103.916,10_20250915
2025-09-15 14:50:00,False,122.688,1.79354,103.945,10_20250915
2025-09-16 21:55:00,False,18.0645,1.76201,104.125,10_20250916
2025-09-17 10:55:00,False,1.88172,1.13138,103.334,10_20250917
2025-09-17 11:00:00,False,2.63441,1.29955,103.276,10_20250917
2025-09-17 11:10:00,False,2.25806,1.62537,103.212,10_20250917
2025-09-19 19:25:00,False,1.12903,1.87763,104.177,10_20250919
2025-09-19 19:35:00,False,1.12903,1.84609,104.218,10_20250919
2025-09-19 19:40:00,False,4.89247,1.96171,104.212,10_20250919
2025-09-19 19:45:00,False,6.39785,1.9512,104.218,10_20250919
2025-09-19 19:50:00,False,3.3871,1.96171,104.23,10_20250919
2025-09-19 19:55:00,False,1.50538,1.97222,104.23,10_20250919
2025-09-19 20:00:00,False,1.88172,1.96171,104.235,10_20250919
2025-09-19 20:05:00,False,9.4086,1.9512,104.235,10_20250919
2025-09-20 18:55:00,False,1.88172,0.837085,104.369,10_20250920
2025-09-20 19:00:00,False,2.25806,1.01576,104.422,10_20250920
2025-09-21 21:00:00,False,24.4624,1.94069,104.241,10_20250921
2025-09-21 21:05:00,False,21.4516,1.9512,104.247,10_20250921
2025-09-21 21:10:00,False,16.9355,1.9512,104.247,10_20250921
2025-09-21 21:15:00,False,3.01075,1.96171,104.253,10_20250921
2025-09-22 20:50:00,False,0.752688,1.68844,104.079,10_20250922
2025-09-24 19:55:00,False,1.50538,1.77252,104.23,10_20250924
2025-09-26 21:25:00,False,13.9247,1.57282,104.329,10_20250926
2025-09-26 21:30:00,False,5.26882,1.54129,104.346,10_20250926
2025-09-27 21:25:00,False,21.0753,0.879127,104.032,10_20250927
2025-09-28 17:50:00,False,10.1613,1.94069,103.672,10_20250928
2025-09-28 17:55:00,False,6.02151,1.88814,103.672,10_20250928
2025-09-30 22:20:00,False,120.054,1.89865,104.288,10_20250930
2025-10-01 18:30:00,False,1.88172,1.87763,104.084,10_20251001
2025-10-01 18:35:00,False,2.63441,1.83558,104.003,10_20251001
2025-10-01 18:45:00,False,0.752688,1.88814,103.916,10_20251001
2025-10-02 22:00:00,False,4.13978,0.879127,104.369,10_20251002
2025-10-02 22:10:00,False,4.13978,0.921169,104.381,10_20251002
2025-10-02 22:15:00,False,1.12903,0.774022,104.346,10_20251002
2025-10-02 22:20:00,False,1.88172,0.73198,104.276,10_20251002
2025-10-03 14:55:00,False,160.699,1.29955,103.265,10_20251003
2025-10-04 09:05:00,False,0.752688,1.83558,103.526,10_20251004
2025-10-04 09:10:00,False,1.12903,1.91967,103.509,10_20251004
2025-10-05 23:30:00,False,113.28,1.74099,103.852,10_20251005
2025-10-06 19:10:00,False,49.3011,1.0473,103.718,10_20251006
2025-10-07 13:00:00,False,1.88172,1.70946,103.683,10_20251007
