station_id,station_name,latitude,longitude,timestamp,wind direction
S60,Sentosa,1.25,103.8279,2025-10-17T13:15:00+08:00,179
S50,Clementi Road,1.3337,103.7768,2025-10-17T13:15:00+08:00,304
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T13:15:00+08:00,16
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T13:15:00+08:00,350
S111,Scotts Road,1.31055,103.8365,2025-10-17T13:15:00+08:00,251
S06,Paya Lebar,1.3524,103.9007,2025-10-17T13:15:00+08:00,343
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T13:15:00+08:00,283
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T13:30:00+08:00,168
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T13:30:00+08:00,31
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T13:30:00+08:00,198
S117,Banyan Road,1.256,103.679,2025-10-17T13:30:00+08:00,244
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T13:30:00+08:00,3
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T13:30:00+08:00,264
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T13:30:00+08:00,230
S60,Sentosa,1.25,103.8279,2025-10-17T13:30:00+08:00,175
S50,Clementi Road,1.3337,103.7768,2025-10-17T13:30:00+08:00,262
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T13:30:00+08:00,288
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T13:30:00+08:00,46
S06,Paya Lebar,1.3524,103.9007,2025-10-17T13:30:00+08:00,19
S111,Scotts Road,1.31055,103.8365,2025-10-17T13:30:00+08:00,187
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T13:30:00+08:00,278
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T13:45:00+08:00,171
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T13:45:00+08:00,30
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T13:45:00+08:00,192
S117,Banyan Road,1.256,103.679,2025-10-17T13:45:00+08:00,245
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T13:45:00+08:00,114
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T13:45:00+08:00,249
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T13:45:00+08:00,233
S60,Sentosa,1.25,103.8279,2025-10-17T13:45:00+08:00,195
S50,Clementi Road,1.3337,103.7768,2025-10-17T13:45:00+08:00,232
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T13:45:00+08:00,6
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T13:45:00+08:00,68
S111,Scotts Road,1.31055,103.8365,2025-10-17T13:45:00+08:00,169
S06,Paya Lebar,1.3524,103.9007,2025-10-17T13:45:00+08:00,26
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T13:45:00+08:00,299
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T14:00:00+08:00,170
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T14:00:00+08:00,17
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T14:00:00+08:00,177
S117,Banyan Road,1.256,103.679,2025-10-17T14:00:00+08:00,248
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T14:00:00+08:00,146
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T14:00:00+08:00,238
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T14:00:00+08:00,229
S60,Sentosa,1.25,103.8279,2025-10-17T14:00:00+08:00,185
S50,Clementi Road,1.3337,103.7768,2025-10-17T14:00:00+08:00,241
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T14:00:00+08:00,359
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T14:00:00+08:00,67
S06,Paya Lebar,1.3524,103.9007,2025-10-17T14:00:00+08:00,11
S111,Scotts Road,1.31055,103.8365,2025-10-17T14:00:00+08:00,249
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T14:00:00+08:00,240
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T14:15:00+08:00,174
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T14:15:00+08:00,60
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T14:15:00+08:00,178
S117,Banyan Road,1.256,103.679,2025-10-17T14:15:00+08:00,243
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T14:15:00+08:00,153
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T14:15:00+08:00,242
